Z Q M X A Y B DT DK COL
86 84 223.00000 0.88963235E-02 -.15287391E-01 -.22672467E-01 -.14575256E-01 -.16621552E-01 0.29286448E-02 01
86 84 223.00000 0.30323618E-02 -.12902975E-01 -.49881995E-03 0.84909031E-02 -.42589235E-01 0.76712093E-03 01
86 84 223.00000 -.17523602E-02 0.43136668E-02 0.61869965E-02 0.14250429E-01 -.14958975E-01 -.15187512E-03 01
86 84 223.00000 -.25077006E-02 -.11513743E-01 0.45919047E-03 0.47464967E-02 -.32450620E-01 -.18630997E-03 01
86 84 223.00000 -.18264894E-02 0.56537302E-02 -.10816354E-03 0.10156386E-01 -.33108222E-02 -.36984415E-03 01
86 84 223.00000 -.32684567E-02 -.46805769E-02 -.60480955E-03 -.75446502E-02 -.69224008E-02 -.58177800E-03 01
86 84 223.00000 0.26005886E-02 0.18945639E-01 -.36401293E-03 -.71419441E-02 0.36617740E-01 0.39142235E-03 01
86 84 223.00000 0.88195258E-03 0.74692986E-02 0.10063370E-02 -.90644576E-02 0.22927629E-01 0.22940422E-03 01
86 84 223.00000 -.18241559E-02 -.98718220E-02 0.18903950E-03 0.45673824E-02 -.31264722E-01 -.16607672E-03 01
86 84 223.00000 0.67761196E-03 0.74367954E-02 0.13005943E-03 -.74086123E-02 0.41169123E-01 0.16893633E-03 01
86 84 223.00000 0.12255936E-01 0.39368676E-01 0.17483584E-02 0.30958444E-03 0.68577647E-01 -.24793347E-03 01
86 84 223.00000 0.93744782E-03 -.10792191E-01 0.72965101E-03 0.12126962E-01 -.49854683E-01 0.39596028E-03 01
86 84 223.00000 0.98596260E-03 0.15957541E-02 -.25724888E-03 0.71202391E-02 0.85785167E-02 0.21987870E-03 01
86 84 223.00000 0.51079447E-02 -.19822697E-01 -.42047729E-03 -.18204208E-01 -.38905894E-01 0.21145640E-02 01
86 84 223.00000 0.44038628E-02 0.11476121E-01 0.52889855E-02 0.14292604E-01 0.46398797E-01 0.78968400E-03 01
86 84 223.00000 0.81833603E-03 0.29668452E-02 -.38296628E-03 0.29899775E-02 0.77167008E-02 0.18410340E-03 01
86 84 223.00000 0.15099373E-02 0.18046946E-01 -.19991077E-03 0.20447440E-02 0.59603159E-01 0.24643480E-03 01
86 84 223.00000 0.16991528E-01 0.27040039E-01 -.48785691E-02 -.65729106E-02 0.11930705E+00 0.15389422E-02 01
86 84 223.00000 -.11593133E-02 -.14358246E-02 0.54713500E-03 0.10173360E-01 -.86956606E-02 -.20723409E-03 01
86 84 223.00000 0.50783313E-02 -.37295679E-01 -.17084629E+00 -.36229122E-01 -.22712969E-01 0.66984245E-02 01
86 84 223.00000 0.11386729E-03 -.27112704E-02 -.63246711E-03 -.70643048E-02 0.21568585E-02 0.36301254E-04 01
86 84 223.00000 0.14748676E-02 0.72171134E-02 0.34890400E-03 0.38794440E-02 0.32672740E-01 0.34446245E-03 01
86 84 223.00000 -.39966516E-02 -.28665783E-01 0.15756516E+00 0.37566835E-01 0.18588987E-01 0.33216256E-02 01
86 84 223.00000 -.11309144E-02 -.15985369E-01 0.82218889E-03 -.13295995E-01 -.39617603E-01 0.47495528E-03 01
86 84 223.00000 -.11589746E-02 -.29231798E-02 -.14445625E-03 -.12403537E-02 -.14437403E-01 -.22035961E-03 01
86 84 223.00000 -.30559433E-03 0.87487918E-02 0.55574032E-03 0.10897358E-01 -.24104640E-02 -.49518404E-04 01
86 84 223.00000 0.28809608E-02 -.35001117E-02 0.60420041E-03 -.11130646E-01 0.63944857E-02 0.64803214E-03 01
86 84 223.00000 0.48634307E-03 0.13857287E-01 0.50773477E-03 0.74261506E-02 -.51518910E-02 0.71064802E-04 01
86 84 223.00000 0.77188256E-03 -.49327619E-02 0.19536560E-03 0.12897379E-01 -.35599912E-02 0.26526147E-03 01
86 84 223.00000 -.93156214E-02 -.14819184E-01 0.22432315E-03 -.89549121E-02 -.22732457E-01 -.57987206E-03 01
86 84 223.00000 -.13748565E-01 -.11898203E-01 -.74278988E-03 -.99013108E-02 -.72828874E-01 -.13129018E-02 01
86 84 223.00000 0.74355496E-03 0.16318879E-01 -.28082795E-03 -.16177543E-02 0.23843240E-01 0.11826619E-03 01
86 84 223.00000 -.21181583E-03 -.11172234E-01 0.31377159E-03 -.49216330E-02 -.31995789E-01 0.14951850E-03 01
86 84 223.00000 -.41210124E-03 -.46295296E-02 0.30263314E-01 0.15558636E-01 -.22129905E-02 0.93200761E-03 01
